,date,infl_value,infl_year,infl_month
103,2015-05-01 00:00:00.000000,0.0,2015,05
104,2015-04-01 00:00:00.000000,-0.2,2015,04
105,2015-03-01 00:00:00.000000,-0.1,2015,03
106,2015-02-01 00:00:00.000000,0.0,2015,02
107,2015-01-01 00:00:00.000000,-0.1,2015,01
108,2014-12-01 00:00:00.000000,0.8,2014,12
109,2014-11-01 00:00:00.000000,1.3,2014,11
110,2014-10-01 00:00:00.000000,1.7,2014,10
111,2014-09-01 00:00:00.000000,1.7,2014,09
112,2014-08-01 00:00:00.000000,1.7,2014,08
113,2014-07-01 00:00:00.000000,2.0,2014,07
114,2014-06-01 00:00:00.000000,2.1,2014,06
115,2014-05-01 00:00:00.000000,2.1,2014,05
116,2014-04-01 00:00:00.000000,2.0,2014,04
117,2014-03-01 00:00:00.000000,1.5,2014,03
118,2014-02-01 00:00:00.000000,1.1,2014,02
119,2014-01-01 00:00:00.000000,1.6,2014,01
120,2013-12-01 00:00:00.000000,1.5,2013,12
121,2013-11-01 00:00:00.000000,1.2,2013,11
122,2013-10-01 00:00:00.000000,1.0,2013,10
123,2013-09-01 00:00:00.000000,1.2,2013,09
124,2013-08-01 00:00:00.000000,1.5,2013,08
125,2013-07-01 00:00:00.000000,2.0,2013,07
126,2013-06-01 00:00:00.000000,1.8,2013,06
127,2013-05-01 00:00:00.000000,1.4,2013,05
128,2013-04-01 00:00:00.000000,1.1,2013,04
129,2013-03-01 00:00:00.000000,1.5,2013,03
130,2013-02-01 00:00:00.000000,2.0,2013,02
131,2013-01-01 00:00:00.000000,1.6,2013,01
