,date,unemp_value,unemp_year,unemp_month
400,1990-09-01 00:00:00.000000,5.9,1990,09
401,1990-08-01 00:00:00.000000,5.7,1990,08
402,1990-07-01 00:00:00.000000,5.5,1990,07
403,1990-06-01 00:00:00.000000,5.2,1990,06
404,1990-05-01 00:00:00.000000,5.4,1990,05
405,1990-04-01 00:00:00.000000,5.4,1990,04
406,1990-03-01 00:00:00.000000,5.2,1990,03
407,1990-02-01 00:00:00.000000,5.3,1990,02
408,1990-01-01 00:00:00.000000,5.4,1990,01
409,1989-12-01 00:00:00.000000,5.4,1989,12
410,1989-11-01 00:00:00.000000,5.4,1989,11
411,1989-10-01 00:00:00.000000,5.3,1989,10
412,1989-09-01 00:00:00.000000,5.3,1989,09
413,1989-08-01 00:00:00.000000,5.2,1989,08
414,1989-07-01 00:00:00.000000,5.2,1989,07
415,1989-06-01 00:00:00.000000,5.3,1989,06
416,1989-05-01 00:00:00.000000,5.2,1989,05
417,1989-04-01 00:00:00.000000,5.2,1989,04
418,1989-03-01 00:00:00.000000,5.0,1989,03
419,1989-02-01 00:00:00.000000,5.2,1989,02
420,1989-01-01 00:00:00.000000,5.4,1989,01
421,1988-12-01 00:00:00.000000,5.3,1988,12
422,1988-11-01 00:00:00.000000,5.3,1988,11
423,1988-10-01 00:00:00.000000,5.4,1988,10
424,1988-09-01 00:00:00.000000,5.4,1988,09
425,1988-08-01 00:00:00.000000,5.6,1988,08
426,1988-07-01 00:00:00.000000,5.4,1988,07
427,1988-06-01 00:00:00.000000,5.4,1988,06
428,1988-05-01 00:00:00.000000,5.6,1988,05
429,1988-04-01 00:00:00.000000,5.4,1988,04
430,1988-03-01 00:00:00.000000,5.7,1988,03
431,1988-02-01 00:00:00.000000,5.7,1988,02
432,1988-01-01 00:00:00.000000,5.7,1988,01
433,1987-12-01 00:00:00.000000,5.7,1987,12
434,1987-11-01 00:00:00.000000,5.8,1987,11
435,1987-10-01 00:00:00.000000,6.0,1987,10
436,1987-09-01 00:00:00.000000,5.9,1987,09
437,1987-08-01 00:00:00.000000,6.0,1987,08
438,1987-07-01 00:00:00.000000,6.1,1987,07
439,1987-06-01 00:00:00.000000,6.2,1987,06
440,1987-05-01 00:00:00.000000,6.3,1987,05
441,1987-04-01 00:00:00.000000,6.3,1987,04
442,1987-03-01 00:00:00.000000,6.6,1987,03
443,1987-02-01 00:00:00.000000,6.6,1987,02
444,1987-01-01 00:00:00.000000,6.6,1987,01
445,1986-12-01 00:00:00.000000,6.6,1986,12
446,1986-11-01 00:00:00.000000,6.9,1986,11
447,1986-10-01 00:00:00.000000,7.0,1986,10
448,1986-09-01 00:00:00.000000,7.0,1986,09
449,1986-08-01 00:00:00.000000,6.9,1986,08
450,1986-07-01 00:00:00.000000,7.0,1986,07
451,1986-06-01 00:00:00.000000,7.2,1986,06
