,aapl_closePrice,aapl_point_change,aapl_Indication,spy_closePrice,intc_closePrice,amd_closePrice,qcom_closePrice,Date,Id,daily_rate,1 Mo,2 Mo,3 Mo,6 Mo,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,spy_OpenPrice,spy_HighPrice,spy_LowPrice,spy_volumn,aapl_volumn,aapl_OpenPrice,aapl_HighPrice,aapl_lowPrice,intc_OpenPrice,intc_HighPrice,intc_LowPrice,intc_volumn,amd_OpenPrice,amd_HighPrice,amd_LowPrice,amd_volumn,qcom_OpenPrice,qcom_HighPrice,qcom_LowPrice,qcom_volumn
925,152.3699951171875,1.6699981689453125,Up-day,390.1199951171875,28.84000015258789,76.66000366210938,124.9800033569336,2022-09-15 00:00:00.000000,929,4.0,2.76,3.03,3.22,3.78,3.87,3.85,3.66,3.59,3.45,3.75,3.48,392.9599914550781,395.9599914550781,388.7799987792969,87633800,90481100,154.64999389648438,155.24000549316406,151.3800048828125,29.149999618530277,29.40999984741211,28.709999084472656,39919100,76.63999938964844,77.97000122070312,74.91000366210938,81818000,126.6999969482422,128.0800018310547,124.2300033569336,7459600
926,150.6999969482422,-3.779998779296875,Down-day,385.55999755859375,29.239999771118164,76.51000213623047,124.9499969482422,2022-09-16 00:00:00.000000,930,3.96,2.68,3.01,3.2,3.77,3.85,3.81,3.62,3.56,3.45,3.79,3.52,384.1400146484375,386.25,382.1099853515625,103084800,162278800,151.2100067138672,151.35000610351562,148.3699951171875,28.700000762939453,29.31999969482422,28.420000076293945,72748000,75.62000274658203,76.81999969482422,74.68000030517578,75300200,124.12000274658205,125.73999786376952,123.0500030517578,13818500
927,154.47999572753906,-2.4199981689453125,Down-day,388.5499877929688,29.440000534057617,76.7699966430664,126.6500015258789,2022-09-19 00:00:00.000000,931,4.05,2.62,3.02,3.37,3.87,3.95,3.9,3.69,3.62,3.49,3.77,3.52,382.260009765625,388.5499877929688,382.1799926757813,73278500,81474200,149.30999755859375,154.55999755859375,149.10000610351562,29.020000457763672,29.5,28.899999618530277,33151900,75.38999938964844,77.33999633789062,75.3499984741211,64966900,123.62000274658205,127.18000030517578,123.41000366210938,5922700
928,156.89999389648438,3.17999267578125,Up-day,384.0899963378906,28.959999084472656,75.25,124.7699966430664,2022-09-20 00:00:00.000000,932,4.03,2.57,3.05,3.35,3.86,3.96,3.94,3.75,3.69,3.57,3.83,3.59,385.05999755859375,386.1199951171875,381.2000122070313,77274900,107689800,153.39999389648438,158.0800018310547,153.0800018310547,29.06999969482422,29.170000076293945,28.709999084472656,31129000,76.08000183105469,76.58000183105469,74.7300033569336,51129100,125.73999786376952,126.5500030517578,123.88999938964844,5672700
929,153.72000122070312,0.9799957275390625,Up-day,377.3900146484375,28.46999931335449,74.4800033569336,124.62000274658205,2022-09-21 00:00:00.000000,933,4.08,2.59,3.06,3.31,3.86,4.02,3.98,3.74,3.65,3.51,3.73,3.5,386.1099853515625,389.30999755859375,377.3800048828125,106746600,101696800,157.33999633789062,158.74000549316406,153.60000610351562,29.149999618530277,29.59000015258789,28.459999084472656,39977300,75.44000244140625,78.41000366210938,74.44999694824219,82069700,125.44000244140624,129.7899932861328,124.5,8123700
930,152.74000549316406,2.3100128173828125,Up-day,374.2200012207031,28.06999969482422,69.5,123.68000030517578,2022-09-22 00:00:00.000000,934,4.08,2.73,3.09,3.29,3.87,4.11,4.12,3.91,3.84,3.7,3.9,3.65,376.5799865722656,378.2999877929688,373.4400024414063,89472600,86652500,152.3800048828125,154.47000122070312,150.91000366210938,28.399999618530277,28.5,28.040000915527344,36092700,73.88999938964844,74.29000091552734,69.16999816894531,101436900,124.75,125.16000366210938,122.47000122070312,8753000
931,150.42999267578125,-0.3400115966796875,Down-day,367.9500122070313,27.520000457763672,67.95999908447266,121.19000244140624,2022-09-23 00:00:00.000000,935,4.15,2.67,3.07,3.24,3.85,4.2,4.21,3.96,3.85,3.69,3.87,3.61,370.5799865722656,370.6199951171875,363.2900085449219,122346900,96029900,151.19000244140625,151.47000122070312,148.55999755859375,27.899999618530277,27.899999618530277,27.190000534057617,43491100,68.0,69.08000183105469,66.81999969482422,87690000,122.33999633789062,122.68000030517578,119.0500030517578,10681300
932,150.77000427246094,-0.989990234375,Down-day,364.30999755859375,26.96999931335449,66.30000305175781,119.73999786376952,2022-09-26 00:00:00.000000,936,4.17,2.73,3.14,3.39,3.95,4.27,4.37,4.15,4.06,3.88,4.01,3.72,366.4100036621094,370.2099914550781,363.0299987792969,92581200,93339400,149.66000366210938,153.77000427246094,149.63999938964844,27.559999465942383,27.700000762939453,26.86000061035156,44786400,67.87000274658203,68.73999786376953,66.25,82898700,121.54000091552734,123.18000030517578,119.58999633789062,6424600
933,151.75999450683594,1.9199981689453125,Up-day,363.3800048828125,26.88999938964844,67.16999816894531,120.33999633789062,2022-09-27 00:00:00.000000,937,4.16,2.71,3.14,3.35,3.91,4.3,4.39,4.21,4.14,3.97,4.15,3.87,368.0199890136719,370.3999938964844,360.8699951171875,108294100,84442700,152.74000549316406,154.72000122070312,149.9499969482422,27.399999618530277,27.600000381469727,26.6200008392334,44121400,67.9000015258789,68.77999877929688,66.0,94871800,121.55999755859376,122.68000030517578,118.75,5544400
934,149.83999633789062,7.3600006103515625,Up-day,370.5299987792969,27.1299991607666,68.36000061035156,118.93000030517578,2022-09-28 00:00:00.000000,938,3.99,2.63,3.14,3.4,3.87,4.07,4.12,3.92,3.83,3.72,3.98,3.7,364.3800048828125,372.2999877929688,362.6000061035156,110802200,146691400,147.63999938964844,150.63999938964844,144.83999633789062,26.86000061035156,27.280000686645508,26.600000381469727,40433400,67.11000061035156,68.80000305175781,66.55999755859375,72389500,118.58000183105467,120.4499969482422,117.77999877929688,11321200
