,date,retail_value,retail_year,retail_month
99,2015-10-01 00:00:00.000000,392602.0,2015,10
100,2015-09-01 00:00:00.000000,381996.0,2015,09
101,2015-08-01 00:00:00.000000,404923.0,2015,08
102,2015-07-01 00:00:00.000000,406550.0,2015,07
103,2015-06-01 00:00:00.000000,397809.0,2015,06
104,2015-05-01 00:00:00.000000,409453.0,2015,05
105,2015-04-01 00:00:00.000000,387358.0,2015,04
106,2015-03-01 00:00:00.000000,393094.0,2015,03
107,2015-02-01 00:00:00.000000,341828.0,2015,02
108,2015-01-01 00:00:00.000000,350291.0,2015,01
109,2014-12-01 00:00:00.000000,451076.0,2014,12
110,2014-11-01 00:00:00.000000,391483.0,2014,11
111,2014-10-01 00:00:00.000000,388387.0,2014,10
112,2014-09-01 00:00:00.000000,374398.0,2014,09
113,2014-08-01 00:00:00.000000,401439.0,2014,08
114,2014-07-01 00:00:00.000000,394691.0,2014,07
115,2014-06-01 00:00:00.000000,385475.0,2014,06
116,2014-05-01 00:00:00.000000,408282.0,2014,05
117,2014-04-01 00:00:00.000000,383818.0,2014,04
118,2014-03-01 00:00:00.000000,383559.0,2014,03
119,2014-02-01 00:00:00.000000,337480.0,2014,02
120,2014-01-01 00:00:00.000000,340473.0,2014,01
121,2013-12-01 00:00:00.000000,430568.0,2013,12
122,2013-11-01 00:00:00.000000,378685.0,2013,11
123,2013-10-01 00:00:00.000000,369777.0,2013,10
124,2013-09-01 00:00:00.000000,352673.0,2013,09
125,2013-08-01 00:00:00.000000,388221.0,2013,08
126,2013-07-01 00:00:00.000000,376970.0,2013,07
127,2013-06-01 00:00:00.000000,369316.0,2013,06
128,2013-05-01 00:00:00.000000,389674.0,2013,05
129,2013-04-01 00:00:00.000000,362965.0,2013,04
130,2013-03-01 00:00:00.000000,374159.0,2013,03
131,2013-02-01 00:00:00.000000,332481.0,2013,02
132,2013-01-01 00:00:00.000000,333694.0,2013,01
133,2012-12-01 00:00:00.000000,416807.0,2012,12
134,2012-11-01 00:00:00.000000,368593.0,2012,11
135,2012-10-01 00:00:00.000000,355823.0,2012,10
136,2012-09-01 00:00:00.000000,342582.0,2012,09
137,2012-08-01 00:00:00.000000,372986.0,2012,08
138,2012-07-01 00:00:00.000000,351520.0,2012,07
139,2012-06-01 00:00:00.000000,356083.0,2012,06
140,2012-05-01 00:00:00.000000,373129.0,2012,05
141,2012-04-01 00:00:00.000000,349194.0,2012,04
142,2012-03-01 00:00:00.000000,368502.0,2012,03
143,2012-02-01 00:00:00.000000,331470.0,2012,02
144,2012-01-01 00:00:00.000000,315540.0,2012,01
145,2011-12-01 00:00:00.000000,408910.0,2011,12
